#Frame                com          pep          pro         bind
      5.1800       2.6014       1.7177       2.5891       1.8281
      5.1900       2.5661       1.5912       2.5676       1.8140
      5.2000       2.6542       1.5968       2.6652       1.8376
      5.2100       2.6747       1.6191       2.6704       1.8329
      5.2200       2.7401       1.5894       2.7520       1.8488
      5.2300       2.5263       1.7145       2.5150       1.8186
      5.2400       2.6801       1.6610       2.6696       1.8691
      5.2500       2.6789       1.5076       2.6849       1.8395
      5.2600       2.6988       1.5852       2.7045       1.9783
      5.2700       2.6230       1.6970       2.6176       1.8952
      5.2800       2.6758       1.6126       2.6946       1.8067
      5.2900       2.7538       1.7016       2.7747       1.9469
      5.3000       2.7400       1.6656       2.7584       1.8720
      5.3100       2.9118       1.7082       2.9445       2.0301
      5.3200       2.7629       1.7361       2.7881       1.9732
      5.3300       2.7730       1.7038       2.7980       1.9133
      5.3400       2.6863       1.7274       2.6960       1.9132
